城市名称,9月房价(元/㎡),9月房价同比(%),9月房价环比(%),9月租金(元/月/㎡),9月租金同比(%),9月租金环比(%),10月房价(元/㎡),10月房价同比(%),10月房价环比(%),10月租金(元/月/㎡),10月租金同比(%),10月租金环比(%),11月房价(元/㎡),11月房价同比(%),11月房价环比(%),11月租金(元/月/㎡),11月租金同比(%),11月租金环比(%),12月房价(元/㎡),12月房价同比(%),12月房价环比(%),12月租金(元/月/㎡),12月租金同比(%),12月租金环比(%),Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
阿坝藏族羌族自治州,6719.0,,45.27,13.23,-13.91,-6.97,4891.0,11.78,-27.2,13.23,-27.13,0.0,4554.0,-21.18,-6.9,,0.0,0.0,5190.0,18.18,13.97,,,,,,,
阿克苏地区,3469.0,12.57,-0.41,12.76,5.39,-3.83,3520.0,11.3,1.48,12.78,22.85,0.17,3572.0,11.84,1.48,13.66,29.27,6.88,3555.0,11.75,-0.48,13.63,46.42,-0.19,,,,
阿拉尔市,3365.0,11.24,0.12,16.76,38.16,,3337.0,22.63,-0.83,15.02,0.0,-10.36,2969.0,4.25,-11.04,15.26,46.08,1.59,3093.0,6.11,4.17,14.96,43.96,-1.98,,,,
阿拉善盟,3967.0,13.71,0.37,13.87,17.0,5.48,3787.0,0.47,-4.52,13.82,14.51,-0.3,3582.0,-1.94,-5.41,15.15,19.64,9.62,3885.0,-0.32,8.45,14.48,-19.82,-4.44,,,,
阿勒泰地区,4294.0,17.13,11.08,13.17,-4.82,-0.23,3806.0,5.19,-11.36,9.84,11.66,-25.29,4260.0,11.54,11.93,9.8,0.99,-0.4,4038.0,12.48,-5.21,9.8,,,,,,
安康市,4977.0,17.32,1.19,17.38,11.16,0.21,5065.0,14.63,1.76,17.78,22.97,2.3,5101.0,16.56,0.72,17.53,31.77,-1.42,5229.0,17.68,2.51,17.73,11.64,1.18,,,,
安庆市,8364.0,28.02,1.64,14.77,12.18,2.53,8278.0,28.52,-1.02,15.61,20.84,5.7,8202.0,26.76,-0.92,14.8,17.97,-5.21,7927.0,19.32,-3.36,15.12,16.22,2.17,,,,
安顺市,4997.0,19.67,0.06,17.6,11.63,-2.14,5098.0,19.23,2.01,17.77,15.84,0.97,5077.0,14.62,-0.41,18.23,38.62,2.6,5078.0,11.54,0.04,18.06,5.18,-0.95,,,,
安阳市,5755.0,26.6,-0.61,12.38,7.63,4.82,5905.0,26.07,2.61,12.56,4.86,1.5,5747.0,16.71,-2.67,12.15,5.97,-3.27,5813.0,13.75,1.15,12.42,12.32,2.21,,,,
鞍山市,4633.0,9.96,0.46,13.74,3.07,4.88,4553.0,4.39,-1.72,13.21,-6.81,-3.89,4664.0,8.99,2.43,13.61,-6.8,3.01,4592.0,5.65,-1.54,14.23,3.01,4.59,,,,
巴彦淖尔市,5452.0,13.57,4.03,14.87,20.07,-4.02,5398.0,15.77,-0.99,15.5,29.85,4.23,5293.0,12.32,-1.94,15.28,41.95,-1.45,5478.0,17.97,3.48,15.47,32.05,1.24,,,,
巴中市,4897.0,12.12,2.43,14.26,13.57,8.03,5012.0,14.45,2.34,13.59,14.5,-4.72,5011.0,12.79,-0.02,14.09,22.55,3.67,5042.0,14.29,0.62,13.7,6.57,-2.74,,,,
巴音郭楞蒙古自治州,3418.0,4.0,-1.56,13.89,21.94,3.78,3474.0,5.48,1.65,14.56,37.7,4.85,3507.0,7.37,0.93,14.3,35.69,-1.78,3551.0,8.88,1.25,14.41,36.45,0.75,,,,
白城市,4743.0,9.31,3.02,15.53,13.27,-7.2,4847.0,12.92,2.19,16.16,34.76,4.07,4954.0,10.55,2.21,17.24,48.09,6.63,4769.0,7.15,-3.72,14.85,7.18,-13.84,,,,
白沙黎族自治县,11188.0,0.0,1.11,21.69,,19.51,10685.0,0.0,-4.49,20.37,0.0,-6.1,10990.0,0.0,2.85,17.87,0.0,-12.25,7533.0,9.37,-31.46,16.12,0.37,-9.83,,,,
